"time_period";"geo_id";"geographic_level";"age";"age_class";"sex";"obs_value";"pop_obs_value";"pop_age_obs_value";"ratio"
"2021";"1103";"Flaxweiler";"Y20T24";"From 20 to 24 years";"Total";"156";"2160";"156";"7.2"
"2021";"7";"Canton Redange";"Y50T54";"From 50 to 54 years";"Total";"1568";"20279";"1568";"7.7"
"2021";"301";"Bertrange";"Y25T29";"From 25 to 29 years";"Female";"238";"8534";"503";"47.3"
"2021";"1108";"Wormeldange";"Y_LT5";"Less than 5 years";"Male";"74";"3055";"156";"47.4"
"2021";"207";"Leudelange";"Y60T64";"From 60 to 64 years";"Female";"74";"2704";"161";"46.0"
"2021";"609";"Schieren";"Y50T64";"From 50 to 64 years";"Female";"204";"2113";"401";"50.9"
"2021";"2";"Canton Esch";"Y25T29";"From 25 to 29 years";"Total";"13855";"186224";"13855";"7.4"
"2021";"1208";"Waldbredimus";"Y95T99";"From 95 to 99 years";"Total";"0";"1272";"0";"0.0"
"2021";"602";"Bourscheid";"Y60T64";"From 60 to 64 years";"Total";"107";"1686";"107";"6.3"
"2021";"7";"Canton Redange";"Y90T94";"From 90 to 94 years";"Total";"87";"20279";"87";"0.4"
"2021";"8";"Canton Wiltz";"Y15T19";"From 15 to 19 years";"Female";"580";"18562";"1140";"50.9"
"2021";"408";"Lorentzweiler";"Y85T89";"From 85 to 89 years";"Male";"29";"4420";"78";"37.2"
"2021";"609";"Schieren";"_T";"Total";"Total";"2113";"2113";"2113";"100.0"
"2021";"608";"Reisdorf";"Y_LT5";"Less than 5 years";"Total";"72";"1313";"72";"5.5"
"2021";"304";"Luxembourg";"Y30T49";"From 30 to 49 years";"Total";"48441";"128097";"48441";"37.8"
"2021";"802";"Esch-sur-Sûre";"Y_LT5";"Less than 5 years";"Male";"93";"2991";"169";"55.0"
"2021";"801";"Boulaide";"Y30T34";"From 30 to 34 years";"Female";"46";"1438";"104";"44.2"
"2021";"607";"Mertzig";"Y50T64";"From 50 to 64 years";"Male";"262";"2293";"483";"54.2"
"2021";"308";"Steinsel";"Y15T29";"From 15 to 29 years";"Female";"446";"5559";"866";"51.5"
"2021";"1004";"Consdorf";"Y75T79";"From 75 to 79 years";"Total";"44";"2126";"44";"2.1"
"2021";"407";"Lintgen";"Y30T34";"From 30 to 34 years";"Male";"162";"3401";"316";"51.3"
"2021";"708";"Useldange";"Y55T59";"From 55 to 59 years";"Total";"172";"2029";"172";"8.5"
"2021";"802";"Esch-sur-Sûre";"_T";"Total";"Female";"1450";"2991";"2991";"48.5"
"2021";"1201";"Bous";"Y15T29";"From 15 to 29 years";"Male";"164";"1698";"300";"54.7"
